10	0	3384	1
14	0	19493	0
15	0	239506	1
17	0	51143	1
1	0	150082	0
2	0	212769	0
3	0	52681	1
3	0	41529	0
4	0	177780	2
5	0	230734	2
5	0	152835	0
7	0	74533	2
8	0	219000	0
8	0	27302	1
9	0	221563	0
11	0	206115	1
12	0	71724	0
13	0	233806	0
13	0	227592	1
14	0	110286	0
14	0	44236	1
14	0	247602	0
16	0	78274	2
17	0	82011	2
18	0	120010	1
19	0	230591	2
20	0	14978	1
1	0	146393	2
1	0	69658	2
1	0	80137	1
1	0	197276	0
1	0	237503	2
2	0	228618	2
2	0	199704	2
2	0	246029	2
2	0	201498	2
2	0	116532	2
3	0	146128	2
3	0	8238	0
3	0	65676	1
3	0	99265	1
3	0	235545	1
4	0	34005	2
4	0	159558	2
4	0	179416	2
4	0	127397	2
4	0	132918	2
5	0	146019	2
5	0	89286	1
5	0	145942	2
5	0	181797	0
5	0	106189	1
6	0	106363	1
6	0	214224	2
6	0	146011	2
6	0	58565	0
6	0	146484	2
7	0	146003	2
7	0	65866	2
7	0	144796	1
7	0	69078	1
7	0	133191	1
8	0	145935	2
8	0	259107	1
8	0	177493	1
8	0	195712	1
8	0	180024	1
9	0	145927	2
9	0	149734	1
9	0	149440	2
9	0	145316	0
9	0	145014	0
10	0	212533	1
10	0	106050	1
10	0	145899	2
10	0	243005	1
10	0	243336	1
11	0	234243	2
11	0	118377	2
11	0	63512	2
11	0	257871	1
11	0	206892	1
12	0	118376	2
12	0	51798	1
12	0	97680	1
12	0	70569	0
12	0	82738	0
13	0	118352	2
13	0	118706	1
13	0	109246	0
13	0	230513	0
13	0	234500	0
14	0	118321	2
14	0	214572	0
14	0	40992	0
14	0	107947	0
14	0	9152	0
15	0	118220	1
15	0	3417	0
15	0	204959	2
15	0	17938	1
15	0	94906	2
16	0	28464	2
16	0	123318	1
16	0	77737	1
16	0	144101	1
16	0	118312	2
17	0	251457	1
17	0	134738	2
17	0	255225	2
17	0	208648	2
17	0	248634	1
18	0	118277	2
18	0	162495	1
18	0	237128	0
18	0	233627	0
18	0	51365	1
19	0	118264	2
19	0	256407	2
19	0	256412	2
19	0	6574	1
19	0	260411	2
20	0	23262	1
20	0	15292	2
20	0	160624	1
20	0	217648	2
20	0	118252	1
